date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:49	11593/11593	---M--	200	added ('OK')	application/javascript	date:Sun,%2004%20Mar%202018%2020:55:24%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/bootsnav.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/bootsnav.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:52	112292/112292	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202018%2020:54:44%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-6.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-6.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:53	97163/97163	---M--	200	added ('OK')	application/javascript	date:Thu,%2008%20Feb%202018%2019:27:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/jquery.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/jquery.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:53	8155/8155	---M--	200	added ('OK')	application/javascript	date:Tue,%2004%20Oct%202016%2011:29:14%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/wow.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/wow.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:54	6010/6010	---M--	200	added ('OK')	application/javascript	date:Thu,%2026%20Oct%202017%2008:52:56%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/parallax-background.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/parallax-background.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:55	1965/1965	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2000:47:50%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/dataTables.bootstrap.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/dataTables.bootstrap.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:56	42766/42766	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202017%2011:43:12%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/owl.carousel.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:57	1245/1245	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2000:50:28%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/responsive.bootstrap.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/responsive.bootstrap.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:57	2250/2250	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Feb%202018%2019:25:06%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/jquery.marquee.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/jquery.marquee.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:57	12712/12712	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2000:49:50%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/dataTables.responsive.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/dataTables.responsive.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:53:01	20216/20216	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Jun%202017%2008:11:48%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/jquery.magnific-popup.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:53:01	23364/23364	---M--	200	added ('OK')	application/javascript	date:Wed,%2028%20Feb%202018%2001:58:26%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/particles.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/particles.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:53:02	1707/1707	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Mar%202018%2019:36:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/app.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/app.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:53:04	5352/5352	---M--	200	added ('OK')	application/javascript	date:Thu,%2029%20Mar%202018%2009:18:02%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/custom.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/custom.js	(from http://cryptomarkethtml.bdtask.com/index.html)
19:53:05	81905/81905	---M--	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2000:46:38%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/jquery.dataTables.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
